year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes
2020,IDAHO,ID,CAMAS,16025,US PRESIDENT,OTHER,OTHER,91,754
2020,IDAHO,ID,CAMAS,16025,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,507,754
2020,IDAHO,ID,CANYON,16027,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,25881,90410
2020,IDAHO,ID,CANYON,16027,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,1696,90410
2020,IDAHO,ID,CANYON,16027,US PRESIDENT,OTHER,OTHER,1074,90410
2020,IDAHO,ID,CANYON,16027,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,61759,90410
2020,IDAHO,ID,CARIBOU,16029,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,431,3416
2020,IDAHO,ID,CARIBOU,16029,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,41,3416
2020,IDAHO,ID,CARIBOU,16029,US PRESIDENT,OTHER,OTHER,38,3416
2020,IDAHO,ID,CARIBOU,16029,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,2906,3416
2020,IDAHO,ID,CASSIA,16031,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1464,9629
2020,IDAHO,ID,CASSIA,16031,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,121,9629
2020,IDAHO,ID,CASSIA,16031,US PRESIDENT,OTHER,OTHER,137,9629
2020,IDAHO,ID,CASSIA,16031,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,7907,9629
2020,IDAHO,ID,CLARK,16033,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,41,311
2020,IDAHO,ID,CLARK,16033,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,4,311
2020,IDAHO,ID,CLARK,16033,US PRESIDENT,OTHER,OTHER,2,311
2020,IDAHO,ID,CLARK,16033,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,264,311
2020,IDAHO,ID,CLEARWATER,16035,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,877,4419
2020,IDAHO,ID,CLEARWATER,16035,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,47,4419
2020,IDAHO,ID,CLEARWATER,16035,US PRESIDENT,OTHER,OTHER,42,4419
2020,IDAHO,ID,CLEARWATER,16035,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,3453,4419
2020,IDAHO,ID,CUSTER,16037,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,603,2739
2020,IDAHO,ID,CUSTER,16037,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,17,2739
2020,IDAHO,ID,CUSTER,16037,US PRESIDENT,OTHER,OTHER,30,2739
2020,IDAHO,ID,CUSTER,16037,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,2089,2739
2020,IDAHO,ID,ELMORE,16039,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,2601,10205
2020,IDAHO,ID,ELMORE,16039,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,225,10205
2020,IDAHO,ID,ELMORE,16039,US PRESIDENT,OTHER,OTHER,133,10205
2020,IDAHO,ID,ELMORE,16039,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,7246,10205
2020,IDAHO,ID,FRANKLIN,16041,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,657,6664
2020,IDAHO,ID,FRANKLIN,16041,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,87,6664
2020,IDAHO,ID,FRANKLIN,16041,US PRESIDENT,OTHER,OTHER,75,6664
2020,IDAHO,ID,FRANKLIN,16041,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,5845,6664
2020,IDAHO,ID,FREMONT,16043,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,998,6719
2020,IDAHO,ID,FREMONT,16043,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,88,6719
2020,IDAHO,ID,FREMONT,16043,US PRESIDENT,OTHER,OTHER,85,6719
2020,IDAHO,ID,FREMONT,16043,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,5548,6719
2020,IDAHO,ID,GEM,16045,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1803,9958
2020,IDAHO,ID,GEM,16045,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,121,9958
2020,IDAHO,ID,GEM,16045,US PRESIDENT,OTHER,OTHER,83,9958
2020,IDAHO,ID,GEM,16045,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,7951,9958
2020,IDAHO,ID,GOODING,16047,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1256,6050
2020,IDAHO,ID,GOODING,16047,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,67,6050
2020,IDAHO,ID,GOODING,16047,US PRESIDENT,OTHER,OTHER,68,6050
2020,IDAHO,ID,GOODING,16047,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,4659,6050
2020,IDAHO,ID,IDAHO,16049,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1561,9602
2020,IDAHO,ID,IDAHO,16049,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,118,9602
2020,IDAHO,ID,IDAHO,16049,US PRESIDENT,OTHER,OTHER,97,9602
2020,IDAHO,ID,IDAHO,16049,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,7826,9602
2020,IDAHO,ID,JEFFERSON,16051,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1661,14173
2020,IDAHO,ID,JEFFERSON,16051,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,252,14173
2020,IDAHO,ID,JEFFERSON,16051,US PRESIDENT,OTHER,OTHER,161,14173
2020,IDAHO,ID,JEFFERSON,16051,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,12099,14173
2020,IDAHO,ID,JEROME,16053,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1893,7812
2020,IDAHO,ID,JEROME,16053,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,100,7812
2020,IDAHO,ID,JEROME,16053,US PRESIDENT,OTHER,OTHER,85,7812
2020,IDAHO,ID,JEROME,16053,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,5734,7812
2020,IDAHO,ID,KOOTENAI,16055,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,24312,89467
2020,IDAHO,ID,KOOTENAI,16055,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,1594,89467
2020,IDAHO,ID,KOOTENAI,16055,US PRESIDENT,OTHER,OTHER,724,89467
2020,IDAHO,ID,KOOTENAI,16055,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,62837,89467
2020,IDAHO,ID,LATAH,16057,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,10236,20570
2020,IDAHO,ID,LATAH,16057,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,608,20570
2020,IDAHO,ID,LATAH,16057,US PRESIDENT,OTHER,OTHER,254,20570
2020,IDAHO,ID,LATAH,16057,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,9472,20570
2020,IDAHO,ID,LEMHI,16059,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1032,4738
2020,IDAHO,ID,LEMHI,16059,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,78,4738
2020,IDAHO,ID,LEMHI,16059,US PRESIDENT,OTHER,OTHER,36,4738
2020,IDAHO,ID,LEMHI,16059,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,3592,4738
2020,IDAHO,ID,LEWIS,16061,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,349,1870
2020,IDAHO,ID,LEWIS,16061,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,16,1870
2020,IDAHO,ID,LEWIS,16061,US PRESIDENT,OTHER,OTHER,16,1870
2020,IDAHO,ID,LEWIS,16061,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,1489,1870
2020,IDAHO,ID,LINCOLN,16063,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,414,1940
2020,IDAHO,ID,LINCOLN,16063,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,21,1940
2020,IDAHO,ID,LINCOLN,16063,US PRESIDENT,OTHER,OTHER,36,1940
2020,IDAHO,ID,LINCOLN,16063,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,1469,1940
2020,IDAHO,ID,MADISON,16065,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,2666,17112
2020,IDAHO,ID,MADISON,16065,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,644,17112
2020,IDAHO,ID,MADISON,16065,US PRESIDENT,OTHER,OTHER,243,17112
2020,IDAHO,ID,MADISON,16065,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,13559,17112
2020,IDAHO,ID,MINIDOKA,16067,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1550,7993
2020,IDAHO,ID,MINIDOKA,16067,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,87,7993
2020,IDAHO,ID,MINIDOKA,16067,US PRESIDENT,OTHER,OTHER,91,7993
2020,IDAHO,ID,MINIDOKA,16067,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,6265,7993
2020,IDAHO,ID,NEZ PERCE,16069,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,6686,20967
2020,IDAHO,ID,NEZ PERCE,16069,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,296,20967
2020,IDAHO,ID,NEZ PERCE,16069,US PRESIDENT,OTHER,OTHER,247,20967
2020,IDAHO,ID,NEZ PERCE,16069,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,13738,20967
2020,IDAHO,ID,ONEIDA,16071,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,249,2451
2020,IDAHO,ID,ONEIDA,16071,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,27,2451
2020,IDAHO,ID,ONEIDA,16071,US PRESIDENT,OTHER,OTHER,27,2451
